,Parcel ID,county,date,year,month,year-month,price,yr_blt,sf,price_sf,lat,long,GEOID,Sub_geo
15455,051F01120000,"622 CHAMPIONS DR Henry County, GA",9/20/18,2018,9,2018-9,480000,2000,4206,114.1226819,33.50247,-84.2053373,13151070315,McDonough
15457,052A01002000,"181 GLEN EAGLE WAY Henry County, GA",12/7/20,2020,12,2020-12,605000,1996,2985,202.680067,33.5024849,-84.214067,13151070315,McDonough
15464,051G01094000,"913 NORTHERN PINES DR Henry County, GA",12/23/21,2021,12,2021-12,899000,2004,6029,149.1126223,33.5025247,-84.1967093,13151070315,McDonough
15470,051G01117000,"155 BAYBERRY HLS Henry County, GA",7/19/18,2018,7,2018-7,539900,2002,3987,135.4150991,33.5025975,-84.1926729,13151070315,McDonough
15473,051G01101000,"1000 LEGACY HILLS DR Henry County, GA",3/19/21,2021,3,2021-3,1000000,2003,5118,195.3888238,33.5026438,-84.1936614,13151070315,McDonough
15478,051F01062000,"625 CHAMPIONS DR Henry County, GA",5/13/22,2022,5,2022-5,800000,1999,3549,225.41561,33.502698,-84.2060168,13151070315,McDonough
15486,051F01235000,"840 COG HL Henry County, GA",7/12/21,2021,7,2021-7,750000,2007,4386,170.998632,33.5028276,-84.2013221,13151070315,McDonough
15487,051G01118000,"153 BAYBERRY HLS Henry County, GA",3/19/21,2021,3,2021-3,565000,2002,3547,159.2895405,33.5028666,-84.192364,13151070315,McDonough
15489,051G01093000,"914 NORTHERN PINES DR Henry County, GA",3/9/20,2020,3,2020-3,715000,2004,5735,124.6730602,33.5028891,-84.1970388,13151070315,McDonough
15490,052A01001000,"100 GLEN EAGLE WAY Henry County, GA",12/30/22,2022,12,2022-12,1950000,2004,7817,249.4563132,33.5029041,-84.21417,13151070315,McDonough
15492,051F01291000,"744 BETHPAGE DR Henry County, GA",8/3/21,2021,8,2021-8,660000,2007,3749,176.0469459,33.5029469,-84.1982744,13151070315,McDonough
15499,052A01054000,"105 GLEN EAGLE WAY Henry County, GA",5/1/19,2019,5,2019-5,415900,1993,2227,186.75348,33.503072,-84.2158993,13151070315,McDonough
15502,051F01017000,"206 EAGLES LANDING WAY Henry County, GA",4/14/20,2020,4,2020-4,590000,1995,3778,156.1672843,33.5031005,-84.21277,13151070315,McDonough
15515,051F01119000,"624 CHAMPIONS DR Henry County, GA",7/6/21,2021,7,2021-7,659700,1998,3227,204.4313604,33.5032205,-84.2045961,13151070315,McDonough
15516,051F01119000,"624 CHAMPIONS DR Henry County, GA",10/8/19,2019,10,2019-10,650000,1998,3227,201.4254726,33.5032205,-84.2045961,13151070315,McDonough
15530,051F01016000,"204 EAGLES LANDING WAY Henry County, GA",5/11/21,2021,5,2021-5,730000,1997,4192,174.1412214,33.5034401,-84.2130377,13151070315,McDonough
15533,051G01044000,"433 ABBEY SPRINGS WAY Henry County, GA",4/22/22,2022,4,2022-4,650000,2002,2881,225.6161055,33.5034567,-84.1928583,13151070315,McDonough
15535,051G01121000,"819 BLACK DIAMOND DR Henry County, GA",1/11/22,2022,1,2022-1,600000,2003,2453,244.5984509,33.5034575,-84.1938056,13151070315,McDonough
15536,051F01063000,"627 CHAMPIONS DR Henry County, GA",5/28/19,2019,5,2019-5,539000,1997,4013,134.3134812,33.5034732,-84.2053373,13151070315,McDonough
15537,051G01042000,"149 BAYBERRY HLS Henry County, GA",11/30/22,2022,11,2022-11,610000,2000,3954,154.2741528,33.5035224,-84.1919315,13151070315,McDonough
15539,051F01191000,"232 EAGLES LANDING WAY Henry County, GA",5/24/19,2019,5,2019-5,611000,2000,3767,162.1980356,33.5035447,-84.2073346,13151070315,McDonough
15540,051F01175000,"233 EAGLES LANDING WAY Henry County, GA",1/19/21,2021,1,2021-1,555000,2000,3923,141.4733622,33.5035662,-84.2082611,13151070315,McDonough
15541,051F01118000,"626 CHAMPIONS DR Henry County, GA",6/27/19,2019,6,2019-6,511700,1998,3671,139.389812,33.5035807,-84.2043696,13151070315,McDonough
15542,051F01118000,"626 CHAMPIONS DR Henry County, GA",7/8/20,2020,7,2020-7,520000,1998,3671,141.6507764,33.5035807,-84.2043696,13151070315,McDonough
15544,051F01176000,"235 EAGLES LANDING WAY Henry County, GA",4/19/18,2018,4,2018-4,645000,2000,4312,149.5825603,33.5036062,-84.2086523,13151070315,McDonough
15547,051F01015000,"202 EAGLES LANDING WAY Henry County, GA",5/15/21,2021,5,2021-5,1120000,1999,4256,263.1578947,33.5037114,-84.2132435,13151070315,McDonough
15553,051F01178000,"239 EAGLES LANDING WAY Henry County, GA",12/13/22,2022,12,2022-12,760000,2000,4301,176.7030923,33.5038239,-84.209501,13151070315,McDonough
15564,051F01014000,"200 EAGLES LANDING WAY Henry County, GA",2/18/20,2020,2,2020-2,470000,1998,3096,151.8087855,33.5039866,-84.2135318,13151070315,McDonough
15566,051F01179000,"241 EAGLES LANDING WAY Henry County, GA",7/16/20,2020,7,2020-7,509000,2000,3118,163.2456703,33.5040128,-84.2098876,13151070315,McDonough
15569,051F01252000,"829 COG HL Henry County, GA",11/29/21,2021,11,2021-11,910000,2013,4681,194.4029054,33.5040627,-84.1992835,13151070315,McDonough
15578,051F01190000,"234 EAGLES LANDING WAY Henry County, GA",4/1/19,2019,4,2019-4,649900,1999,3054,212.8028815,33.5041861,-84.2079934,13151070315,McDonough
15583,051F01257000,"819 COG HL Henry County, GA",3/3/21,2021,3,2021-3,640000,2006,3843,166.53656,33.5043134,-84.197183,13151070315,McDonough
15589,051F01187000,"240 EAGLES LANDING WAY Henry County, GA",4/21/22,2022,4,2022-4,787000,1999,4237,185.7446306,33.5044983,-84.2093188,13151070315,McDonough
15598,051G01048000,"425 ABBEY SPRINGS WAY Henry County, GA",1/29/21,2021,1,2021-1,556000,2000,3332,166.8667467,33.5047297,-84.1934967,13151070315,McDonough
15619,051F01069000,"305 BROADMOOR WAY Henry County, GA",11/1/21,2021,11,2021-11,655000,1999,3444,190.1858304,33.5051804,-84.2031341,13151070315,McDonough
15628,051G01081000,"808 BLACK DIAMOND DR Henry County, GA",5/11/18,2018,5,2018-5,485000,2002,3514,138.0193512,33.5053337,-84.1947529,13151070315,McDonough
15629,051F01184000,"246 EAGLES LANDING WAY Henry County, GA",10/2/20,2020,10,2020-10,1400000,2008,5419,258.3502491,33.5053483,-84.2104641,13151070315,McDonough
15634,051F01071000,"309 BROADMOOR WAY Henry County, GA",6/21/19,2019,6,2019-6,642900,2000,3247,197.9981521,33.5055117,-84.2022899,13151070315,McDonough
15636,051F01109000,"316 BROADMOOR WAY Henry County, GA",8/5/20,2020,8,2020-8,579900,2003,3925,147.7452229,33.5055883,-84.2006631,13151070315,McDonough
15648,051F01108000,"318 BROADMOOR WAY Henry County, GA",4/6/21,2021,4,2021-4,690000,2000,4436,155.5455365,33.5058696,-84.2003735,13151070315,McDonough
15649,051G01051000,"801 BLACK DIAMOND DR Henry County, GA",12/1/21,2021,12,2021-12,630000,2000,3503,179.8458464,33.5058714,-84.1936614,13151070315,McDonough
15666,070G01001000,"643 CHAMPIONS DR Henry County, GA",5/30/19,2019,5,2019-5,368100,2001,3793,97.0471922,33.506258,-84.203793,13151070315,McDonough
15683,070G01003000,"647 CHAMPIONS DR Henry County, GA",6/24/22,2022,6,2022-6,450000,2002,3170,141.955836,33.506588,-84.2038548,13151070315,McDonough
15686,051F01076000,"319 BROADMOOR WAY Henry County, GA",6/12/19,2019,6,2019-6,520000,1999,4101,126.7983419,33.5066274,-84.2004984,13151070315,McDonough
15689,070G01076000,"1000 COLLINGTREE CT Henry County, GA",12/1/20,2020,12,2020-12,390000,1999,3540,110.1694915,33.5066881,-84.2031959,13151070315,McDonough
15696,070G01004000,"801 CHALET HLS Henry County, GA",3/23/20,2020,3,2020-3,373000,2001,3477,107.2763877,33.5067663,-84.2039372,13151070315,McDonough
15698,070G01075000,"1002 COLLINGTREE CT Henry County, GA",3/15/21,2021,3,2021-3,329600,2002,2603,126.6231272,33.506804,-84.2030333,13151070315,McDonough
15703,070G01074000,"1004 COLLINGTREE CT Henry County, GA",8/28/19,2019,8,2019-8,287000,2002,2314,124.0276577,33.5069102,-84.2029716,13151070315,McDonough
15704,070G01074000,"1004 COLLINGTREE CT Henry County, GA",2/22/22,2022,2,2022-2,390000,2002,2314,168.5393258,33.5069102,-84.2029716,13151070315,McDonough
